"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"619",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10212.87,10213.89
"620",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10216.06,10216.66
"621",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10218.23,10218.83
"622",3,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",10228.28,10229.13
"623",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10275.4,10276
"624",3,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10289.99,10290.99
"625",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10291.89,10292.52
"626",3,2,3,1,3,FALSE,"0054_000603_scrubbed.wav",10295.51,10297.16
"627",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10300.17,10300.97
"628",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10315.69,10316.71
"629",3,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10348.7,10349.51
"630",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10353.84,10355.5
"631",1,1,1,1,1,TRUE,"0054_000603_scrubbed.wav",10360.01,10360.84
"632",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10378.29,10379.38
"633",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10392.53,10393.79
"634",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10396.24,10397.11
"635",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10401.54,10402.51
"636",3,2,3,1,3,FALSE,"0054_000603_scrubbed.wav",10403.62,10404.43
"637",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10405.25,10406.21
"638",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",10408.22,10408.83
"639",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10412.45,10413.32
"640",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10414.12,10414.72
"641",3,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10430.74,10431.34
"642",3,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10434.4,10435
"643",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10440.84,10441.59
"644",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10446.8,10447.4
"645",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10449.14,10450.98
"646",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",10452.77,10453.99
"647",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10453.99,10454.93
"648",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10454.93,10455.73
"649",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10455.73,10458.02
"650",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10459.28,10459.96
"651",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10461.12,10462.61
"652",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10462.61,10463.62
"653",2,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10464.76,10465.59
"654",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10467.69,10468.29
"655",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10468.29,10469.12
"656",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10469.12,10470.35
"657",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",10470.35,10471.23
