"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"127","0340_000301_scrubbed.wav",2176.49,2177.35,1,2,1,3,1,1,2,2,2,2,2,1,1,2,1,2,2,FALSE
"128","0340_000301_scrubbed.wav",2178.16,2178.79,1,2,2,3,3,2,2,2,2,2,2,1,2,2,1,2,2,FALSE
"129","0340_000301_scrubbed.wav",2178.79,2179.59,2,2,3,4,3,3,3,3,2,2,2,2,3,2,3,3,2,FALSE
"130","0340_000301_scrubbed.wav",2179.59,2180.52,2,2,2,3,1,1,2,2,2,2,2,1,1,2,1,2,2,FALSE
"131","0340_000301_scrubbed.wav",2183.1,2184.53,1,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,FALSE
"132","0340_000301_scrubbed.wav",2185.5,2186.19,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"133","0340_000301_scrubbed.wav",2191.17,2191.79,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,FALSE
"134","0340_000301_scrubbed.wav",2202.18,2203.1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"135","0340_000301_scrubbed.wav",2226.6,2228.14,2,2,2,3,2,2,2,5,2,2,2,2,1,2,2,2,2,FALSE
"136","0340_000301_scrubbed.wav",2232.7,2233.84,5,5,1,2,2,5,5,5,2,3,2,2,2,2,5,2,2,FALSE
"137","0340_000301_scrubbed.wav",2237.38,2237.99,5,5,2,4,2,5,5,5,2,3,2,5,3,2,2,2,2,FALSE
"138","0340_000301_scrubbed.wav",2240.01,2241.48,5,5,3,4,3,5,5,5,2,4,2,5,3,5,5,4,5,FALSE
"139","0340_000301_scrubbed.wav",2241.48,2242.18,5,5,2,3,2,5,5,5,2,5,2,5,1,5,2,2,5,FALSE
"140","0340_000301_scrubbed.wav",2246.23,2246.88,5,5,2,3,2,5,5,5,2,5,2,5,2,5,1,2,5,FALSE
"141","0340_000301_scrubbed.wav",2267.51,2268.22,5,5,2,4,2,4,2,2,2,5,2,5,2,2,2,2,2,FALSE
"142","0340_000301_scrubbed.wav",2272.69,2273.32,5,5,1,3,1,5,5,5,2,5,2,5,1,5,1,2,5,FALSE
"143","0340_000301_scrubbed.wav",2302.25,2302.85,1,3,2,4,3,4,3,2,2,2,2,2,2,2,2,3,2,FALSE
"144","0340_000301_scrubbed.wav",2341.53,2343.32,5,3,2,3,2,2,2,2,2,2,2,2,3,5,2,2,2,FALSE
"145","0340_000301_scrubbed.wav",2398.1,2398.7,1,2,2,4,2,3,3,3,2,3,2,2,3,2,2,2,2,FALSE
"146","0340_000301_scrubbed.wav",2406.69,2407.29,2,2,2,3,2,3,3,3,2,3,2,2,2,5,2,2,2,FALSE
"147","0340_000301_scrubbed.wav",2419.38,2421.33,1,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,FALSE
"148","0340_000301_scrubbed.wav",2425.34,2426.32,2,3,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,FALSE
"149","0340_000301_scrubbed.wav",2428.99,2430.21,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,FALSE
"150","0340_000301_scrubbed.wav",2439.76,2441.77,5,4,2,1,5,5,5,5,2,1,2,5,1,5,5,5,5,FALSE
"151","0340_000301_scrubbed.wav",2444.12,2444.72,5,4,2,1,5,1,5,5,2,2,2,5,1,5,5,5,5,FALSE
"152","0340_000301_scrubbed.wav",2445.53,2447.54,5,5,2,2,5,5,5,5,5,2,2,5,1,5,5,5,5,FALSE
"153","0340_000301_scrubbed.wav",2449.35,2450.11,5,5,2,3,5,3,5,5,5,2,2,5,1,5,5,2,5,FALSE
"154","0340_000301_scrubbed.wav",2455.01,2456.3,5,5,2,3,5,5,5,5,5,2,2,5,1,5,5,1,5,FALSE
"155","0340_000301_scrubbed.wav",2457.85,2458.63,5,5,1,3,5,5,5,5,5,2,2,5,1,5,5,1,5,FALSE
"156","0340_000301_scrubbed.wav",2479.19,2480.76,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,FALSE
"157","0340_000301_scrubbed.wav",2601.67,2602.27,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,FALSE
"158","0340_000301_scrubbed.wav",2638.58,2639.46,5,5,3,3,5,4,2,5,5,3,2,5,2,5,2,2,5,FALSE
"159","0340_000301_scrubbed.wav",2680.56,2681.2,1,5,2,3,5,3,2,5,5,3,2,5,1,5,1,2,5,FALSE
"160","0340_000301_scrubbed.wav",2682.08,2682.68,1,5,2,4,5,3,2,5,5,2,2,5,2,2,2,2,2,FALSE
"161","0340_000301_scrubbed.wav",2685.96,2686.61,1,5,2,3,5,3,2,5,5,2,2,5,1,2,1,2,2,FALSE
"162","0340_000301_scrubbed.wav",2688.79,2690.22,1,5,2,3,5,3,2,5,5,2,2,5,1,2,1,2,2,FALSE
"163","0340_000301_scrubbed.wav",2693.44,2694.24,1,2,2,4,5,3,2,5,5,2,2,5,1,2,2,2,2,FALSE
"164","0340_000301_scrubbed.wav",2697.15,2697.75,1,2,2,4,5,3,3,5,5,2,2,5,1,2,2,2,2,FALSE
"165","0340_000301_scrubbed.wav",2720.6,2721.34,5,2,2,3,5,5,2,5,5,2,2,5,1,2,2,2,2,FALSE
"166","0340_000301_scrubbed.wav",2735.37,2736.51,1,2,2,3,5,3,2,5,5,2,2,5,1,5,1,2,2,FALSE
"167","0340_000301_scrubbed.wav",2751.88,2752.71,5,2,2,2,5,5,5,5,5,1,2,5,1,5,1,2,5,FALSE
"168","0340_000301_scrubbed.wav",2754.75,2755.54,5,2,3,3,5,5,3,5,5,1,2,5,2,5,4,2,5,FALSE
"169","0340_000301_scrubbed.wav",2810.87,2811.61,5,2,1,2,5,5,5,5,5,2,2,5,1,5,1,2,5,FALSE
"170","0340_000301_scrubbed.wav",2821.26,2821.9,5,2,1,3,5,3,5,5,5,2,2,5,1,2,1,2,2,FALSE
"171","0340_000301_scrubbed.wav",2823.82,2825.15,5,2,1,2,5,5,5,5,5,2,2,5,1,2,1,2,2,FALSE
"172","0340_000301_scrubbed.wav",2825.15,2826.25,5,2,1,3,5,5,5,5,5,2,2,5,1,2,2,2,2,FALSE
"173","0340_000301_scrubbed.wav",2856.07,2856.85,5,2,1,3,5,5,2,5,5,2,2,5,1,2,2,2,2,FALSE
"174","0340_000301_scrubbed.wav",2858.11,2858.71,5,2,1,3,5,5,5,5,5,2,2,5,1,2,1,2,5,FALSE
"175","0340_000301_scrubbed.wav",2858.71,2859.73,5,2,1,3,5,5,5,5,5,2,2,5,2,2,2,2,2,FALSE
