"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"121","0054_000603_scrubbed.wav",2814.96,2816.03,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"122","0054_000603_scrubbed.wav",2834.83,2835.83,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"123","0054_000603_scrubbed.wav",2856.97,2857.59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"124","0054_000603_scrubbed.wav",2861.84,2862.55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,FALSE
"125","0054_000603_scrubbed.wav",2866.78,2867.44,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,FALSE
"126","0054_000603_scrubbed.wav",2915.48,2916.08,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,FALSE
"127","0054_000603_scrubbed.wav",2918.6,2919.63,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,FALSE
"128","0054_000603_scrubbed.wav",2926.62,2927.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,FALSE
"129","0054_000603_scrubbed.wav",2938.41,2939.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,FALSE
"130","0054_000603_scrubbed.wav",2951.71,2952.35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"131","0054_000603_scrubbed.wav",2970.96,2971.56,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,FALSE
"132","0054_000603_scrubbed.wav",2988.64,2989.95,4,4,4,4,4,3,4,5,4,5,4,4,5,4,3,4,5,4,4,4,FALSE
"133","0054_000603_scrubbed.wav",3018.53,3019.32,2,3,1,2,2,2,2,3,2,4,3,3,2,2,2,2,2,2,3,2,FALSE
"134","0054_000603_scrubbed.wav",3039.36,3039.96,1,2,2,2,2,2,3,2,2,1,4,2,2,2,2,2,2,2,2,2,FALSE
"135","0054_000603_scrubbed.wav",3041.65,3042.25,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,FALSE
"136","0054_000603_scrubbed.wav",3044.83,3045.99,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,FALSE
"137","0054_000603_scrubbed.wav",3077.52,3078.18,2,2,2,3,2,3,3,3,2,2,3,2,2,2,2,1,1,2,2,2,FALSE
"138","0054_000603_scrubbed.wav",3092.75,3093.77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"139","0054_000603_scrubbed.wav",3208.61,3209.21,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"140","0054_000603_scrubbed.wav",3269.98,3272.49,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,FALSE
"141","0054_000603_scrubbed.wav",3273.9,3274.63,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"142","0054_000603_scrubbed.wav",3277.78,3278.57,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,FALSE
"143","0054_000603_scrubbed.wav",3284.82,3285.43,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,FALSE
"144","0054_000603_scrubbed.wav",3286.62,3287.8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"145","0054_000603_scrubbed.wav",3298.85,3299.45,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,FALSE
"146","0054_000603_scrubbed.wav",3306.75,3309.44,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"147","0054_000603_scrubbed.wav",3315.82,3316.42,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,FALSE
"148","0054_000603_scrubbed.wav",3317.78,3318.78,2,4,2,5,3,2,4,3,2,2,4,5,2,3,3,2,1,4,2,2,FALSE
"149","0054_000603_scrubbed.wav",3327.75,3330.39,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"150","0054_000603_scrubbed.wav",3332.93,3335.02,1,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"151","0054_000603_scrubbed.wav",3335.02,3336.03,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
"152","0054_000603_scrubbed.wav",3376.85,3379.29,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"153","0054_000603_scrubbed.wav",3383.34,3383.94,4,2,2,4,3,2,4,4,2,2,4,4,2,4,3,2,1,2,2,2,FALSE
"154","0054_000603_scrubbed.wav",3384.8,3387.15,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,FALSE
"155","0054_000603_scrubbed.wav",3389.16,3389.76,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"156","0054_000603_scrubbed.wav",3390.56,3392.4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
"157","0054_000603_scrubbed.wav",3399.53,3400.2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,FALSE
"158","0054_000603_scrubbed.wav",3402.59,3405.36,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,FALSE
"159","0054_000603_scrubbed.wav",3407.29,3409.69,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,FALSE
"160","0054_000603_scrubbed.wav",3414.44,3415.43,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,FALSE
"161","0054_000603_scrubbed.wav",3418.83,3420.73,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,FALSE
"162","0054_000603_scrubbed.wav",3425.5,3426.1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,2,FALSE
"163","0054_000603_scrubbed.wav",3437.76,3443.07,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,FALSE
